,track_URI,track_name,album_name,album_image_URL,artists_URIs,artists,artist_genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
0,0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d,['5YGY8feqx7naU7z4HrwZM6'],['Miley Cyrus'],"['dance pop', 'pop']",0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646
1,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",https://i.scdn.co/image/ab67616d0000b273511a66760837c2496d3375ca,"['716NhGYqD1jl2wI1Qkgq36', '0EmeFodog0BfCgMzAIvKQp']","['Bizarrap', 'Shakira']","['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino', 'colombian pop', 'dance pop', 'latin pop']",0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498
2,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SOS,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,['7tYKF4w9nC0nq9CsPZTHyP'],['SZA'],"['pop', 'r&b']",0.644,0.735,-5.747,0.0391,0.0521,0.144,0.161,0.418
3,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,"['0iEtIxbK0KxaSlF7G42ZOp', '1Xyo4u8uXC1ZmMpatF05PJ', '1URnnhqYAYcrqrcwql10ft']","['Metro Boomin', 'The Weeknd', '21 Savage']","['rap', 'canadian contemporary r&b', 'canadian pop', 'pop', 'atl hip hop']",0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172
4,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,"['2wY79sveU1sp5g7SokKOiI', '3Xt3RrJMFv5SZkCfUE8C1J']","['Sam Smith', 'Kim Petras']","['pop', 'uk pop', 'dance pop', 'post-teen pop', 'transpop']",0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238
5,5ww2BF9slyYgNOk37BlC4u,La Bachata,La Bachata,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,['0tmwSHipWxN12fsoLcFU3B'],['Manuel Turizo'],"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85
6,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry's House,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,['6KImCVD70vtIoJWnq6nGn3'],['Harry Styles'],['pop'],0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662
7,2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Sr. Santos,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b,"['4SsVbpTthjScTS7U2hmr1X', '4q3ewBCX7sLwd24euuV69X']","['Arcángel', 'Bad Bunny']","['latin hip hop', 'reggaeton', 'urbano latino', 'trap latino']",0.887,0.234,-14.52,0.178,0.111,0.67,0.13,0.197
8,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,"['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb']","['David Guetta', 'Bebe Rexha']","['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop']",0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304
9,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,['06HL4z0CvFAxyc27GXpf02'],['Taylor Swift'],['pop'],0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533
